Repository,GitHub URL,Category,Findings,Commit SHA,Notes
CommandExecution,https://github.com/ryaker/CommandExecution,Shell,1,99ca594,
Easy-Postgres-MCP,https://github.com/perrypixel/Easy-Postgres-MCP,Database,0,b0a279b,
Figma-Context-MCP,https://github.com/GLips/Figma-Context-MCP,API,0,c11b1bc,
Gmail-MCP-Server,https://github.com/GongRzhe/Gmail-MCP-Server,API,0,a890d19,
MCP-Backup-Server,https://github.com/hexitex/MCP-Backup-Server,File,0,e4e8c5e,
PowerShell-Exec-MCP-Server,https://github.com/DynamicEndpoints/PowerShell-Exec-MCP-Server,Shell,0,45b623d,
REDIS-MCP-Server,https://github.com/GongRzhe/REDIS-MCP-Server,Database,0,9af5fa9,
aws-s3-mcp,https://github.com/samuraikun/aws-s3-mcp,File,0,8e97db9,
azure-devops-mcp,https://github.com/microsoft/azure-devops-mcp,API,0,d8b9642,
bc-code-intelligence-mcp,https://github.com/JeremyVyska/bc-code-intelligence-mcp,API,0,d77cd97,
cli-mcp-server,https://github.com/MladenSU/cli-mcp-server,Shell,0,5d30d70,
cloudstorage-mcp,https://github.com/gitskyflux/cloudstorage-mcp,File,0,320d516,
db-mcp-server,https://github.com/FreePeak/db-mcp-server,Database,0,88c8b41,
dbx-mcp-server,https://github.com/amgadabdelhafez/dbx-mcp-server,File,9,27e6a91,
docs-mcp-server,https://github.com/arabold/docs-mcp-server,API,0,39ee05a,
duckdb_mcp,https://github.com/teaguesterling/duckdb_mcp,Database,0,17d83c3,
exa-mcp-server,https://github.com/exa-labs/exa-mcp-server,API,0,1ec2078,
fastmcp,https://github.com/punkpeye/fastmcp,API,0,118aa4c,
file-system-mcp-server,https://github.com/calebmwelsh/file-system-mcp-server,File,0,767dca2,
files-mcp,https://github.com/Files-com/files-mcp,File,0,4c82a65,
files-mcp-server,https://github.com/microsoft/files-mcp-server,File,0,2a66a56,
filesystem,https://github.com/dmatscheko/filesystem,File,0,c996517,
filesystem-mcp,https://github.com/SylphxAI/filesystem-mcp,File,0,7e7449c,
filesystem-mcp-server,https://github.com/cyanheads/filesystem-mcp-server,File,0,513ec49,
firebase-mcp,https://github.com/gannonh/firebase-mcp,Database,0,4327231,
gdrive-mcp-server,https://github.com/felores/gdrive-mcp-server,File,0,a1e0fa1,
git-mcp,https://github.com/idosal/git-mcp,Shell,0,d1808ca,
hdresearch-mcp-shell,https://github.com/hdresearch/mcp-shell,Shell,0,f70bbcd,False negative: TypeScript parsing failure
hyper-mcp-terminal,https://github.com/BigSweetPotatoStudio/hyper-mcp-terminal,Shell,0,e38caac,
image-worker-mcp,https://github.com/BoomLinkAi/image-worker-mcp,File,4,029db7d,
influxdb-mcp-server,https://github.com/idoru/influxdb-mcp-server,Database,3,2695298,
influxdb3_mcp_server,https://github.com/influxdata/influxdb3_mcp_server,Database,0,ded93a1,
magic-mcp,https://github.com/21st-dev/magic-mcp,API,0,ba1f71e,
mako10k-mcp-shell-server,https://github.com/mako10k/mcp-shell-server,Shell,0,c6799c2,
mcp-abap-adt,https://github.com/fr0ster/mcp-abap-adt,API,4,4f211ea,
mcp-alchemy,https://github.com/runekaagaard/mcp-alchemy,API,0,f9d984e,
mcp-bash,https://github.com/patrickomatik/mcp-bash,Shell,0,772010f,
mcp-chrome,https://github.com/hangwin/mcp-chrome,Shell,12*,e1301a0,False positives from bundled library
mcp-cockroachdb,https://github.com/amineelkouhen/mcp-cockroachdb,Database,0,5c323e4,
mcp-database,https://github.com/Melkeydev/mcp-database,Database,0,11003f5,
mcp-database-server,https://github.com/executeautomation/mcp-database-server,Database,0,d6afa4b,
mcp-db-manager,https://github.com/laduenasb/mcp-db-manager,Database,0,b23c93c,
mcp-dbs,https://github.com/cuongtl1992/mcp-dbs,Database,0,5c949a2,
mcp-filesystem,https://github.com/safurrier/mcp-filesystem,File,0,7a9d229,
mcp-filesystem-server,https://github.com/bsmi021/mcp-filesystem-server,File,0,0ad99a7,
mcp-gdrive,https://github.com/isaacphi/mcp-gdrive,File,0,5a94bdc,
mcp-git,https://github.com/ukiuni/mcp-git,Shell,0,adae6c8,
mcp-mongo-server,https://github.com/kiliczsh/mcp-mongo-server,Database,0,65f577b,
mcp-official-servers,https://github.com/modelcontextprotocol/servers,API,0,d1d6a12,
mcp-powershell-exec,https://github.com/dfinke/mcp-powershell-exec,Shell,0,52562b0,
mcp-rest-api,https://github.com/dkmaker/mcp-rest-api,API,0,fb28239,
mcp-sdlc-tracker,https://github.com/avinashsingh/mcp-sdlc-tracker,API,0,51975ec,
mcp-server-airbnb,https://github.com/openbnb-org/mcp-server-airbnb,API,0,57d9d6c,
mcp-server-bash,https://github.com/antonum/mcp-server-bash,Shell,0,356ce3d,
mcp-server-bash-sdk,https://github.com/muthuishere/mcp-server-bash-sdk,Shell,0,4d267e9,
mcp-server-browserbase,https://github.com/browserbase/mcp-server-browserbase,Shell,0,460a9c2,
mcp-server-chart,https://github.com/antvis/mcp-server-chart,API,0,10330bc,
mcp-server-chatsum,https://github.com/chatmcp/mcp-server-chatsum,API,0,5bf9298,
mcp-server-cloudflare,https://github.com/cloudflare/mcp-server-cloudflare,API,0,0df3a67,
mcp-server-code-execution-mode,https://github.com/elusznik/mcp-server-code-execution-mode,Shell,0,bd592eb,
mcp-server-commands,https://github.com/g0t4/mcp-server-commands,Shell,0,76bf646,
mcp-server-duckdb,https://github.com/ktanaka101/mcp-server-duckdb,Database,0,2cc7c29,
mcp-server-kubernetes,https://github.com/Flux159/mcp-server-kubernetes,Shell,0,25c01dd,
mcp-server-motherduck,https://github.com/motherduckdb/mcp-server-motherduck,Database,0,0794fe6,
mcp-server-mysql,https://github.com/benborla/mcp-server-mysql,Database,0,6a03678,
mcp-server-node,https://github.com/lucianoayres/mcp-server-node,Shell,0,fb46037,
mcp-server-opendal,https://github.com/Xuanwo/mcp-server-opendal,File,0,f49ee92,
mcp-server-shell,https://github.com/odysseus0/mcp-server-shell,Shell,0,2a17549,
mcp-server-youtube-transcript,https://github.com/kimtaeyoon83/mcp-server-youtube-transcript,API,0,b8aa96f,
mcp-shell,https://github.com/sonirico/mcp-shell,Shell,0,ecf792d,
mcp-shell-server,https://github.com/tumf/mcp-shell-server,Shell,0,4da78d5,
mcp-shell-server-1,https://github.com/smithery-ai/mcp-shell-server-1,Shell,0,58df6d3,
mcp-sqlite,https://github.com/jparkerweb/mcp-sqlite,Database,0,1d6662d,
mcp-terminal,https://github.com/GeLi2001/mcp-terminal,Shell,0,e46b81e,
mcp-terminal-server,https://github.com/RichardTheuws/mcp-terminal-server,Shell,0,52325c4,
mcp-webhook,https://github.com/kevinwatt/mcp-webhook,API,0,8c2f042,
mcp_command_server,https://github.com/copyleftdev/mcp_command_server,Shell,0,8660406,
mcp_server_filesystem,https://github.com/MarcusJellinghaus/mcp_server_filesystem,File,0,8c8993e,
mkusaka-mcp-shell-server,https://github.com/mkusaka/mcp-shell-server,Shell,0,58df6d3,
